id_material,mes_anio,demanda_mensual,reposicion_mensual,stock_actual_fin_mes,stock_minimo,costo_unitario
1001,2019-09,158,154,592,33,8.30
1001,2019-10,160,268,592,33,8.30
1001,2019-11,316,169,592,33,8.30
1001,2019-12,163,140,592,33,8.30
1001,2020-01,104,148,592,33,8.30
1001,2020-02,113,47,592,33,8.30
1001,2020-03,158,203,592,33,8.30
1001,2020-04,151,341,592,33,8.30
1001,2020-05,215,212,592,33,8.30
1001,2020-06,199,92,592,33,8.30
1001,2020-07,118,203,592,33,8.30
1001,2020-08,231,116,592,33,8.30
1001,2020-09,167,205,592,33,8.30
1001,2020-10,171,144,592,33,8.30
1001,2020-11,240,164,592,33,8.30
1001,2020-12,194,326,592,33,8.30
1001,2021-01,225,63,592,33,8.30
1001,2021-02,54,110,592,33,8.30
1001,2021-03,180,190,592,33,8.30
1001,2021-04,164,98,592,33,8.30
1001,2021-05,142,151,592,33,8.30
1001,2021-06,237,239,592,33,8.30
1001,2021-07,47,36,592,33,8.30
1001,2021-08,58,58,592,33,8.30
1001,2021-09,77,135,592,33,8.30
1001,2021-10,220,190,592,33,8.30
1001,2021-11,73,45,592,33,8.30
1001,2021-12,132,154,592,33,8.30
1001,2022-01,137,115,592,33,8.30
1001,2022-02,103,103,592,33,8.30
1001,2022-03,40,40,592,33,8.30
1001,2022-04,166,170,592,33,8.30
1001,2022-05,154,359,592,33,8.30
1001,2022-06,172,139,592,33,8.30
1001,2022-07,125,408,592,33,8.30
1001,2022-08,229,196,592,33,8.30
1001,2022-09,171,195,592,33,8.30
1001,2022-10,212,82,592,33,8.30
1001,2022-11,124,243,592,33,8.30
1001,2022-12,179,80,592,33,8.30
1001,2023-01,207,210,592,33,8.30
1001,2023-02,253,103,592,33,8.30
1001,2023-03,105,219,592,33,8.30
1001,2023-04,160,132,592,33,8.30
1001,2023-05,240,274,592,33,8.30
1001,2023-06,199,101,592,33,8.30
1001,2023-07,182,100,592,33,8.30
1001,2023-08,284,207,592,33,8.30
1001,2023-09,56,0,570,33,8.30
1001,2023-10,123,150,592,33,8.30
1001,2023-11,124,299,592,33,8.30
1001,2023-12,89,230,592,33,8.30
1001,2024-01,242,101,592,33,8.30
1001,2024-02,193,217,592,33,8.30
1001,2024-03,179,214,592,33,8.30
1001,2024-04,258,52,592,33,8.30
1001,2024-05,182,258,592,33,8.30
1001,2024-06,147,142,592,33,8.30
1001,2024-07,141,45,592,33,8.30
1001,2024-08,76,46,592,33,8.30
1001,2024-09,148,174,592,33,8.30
1001,2024-10,170,158,592,33,8.30
1001,2024-11,252,239,592,33,8.30
1001,2024-12,227,246,592,33,8.30
1001,2025-01,121,101,592,33,8.30
1001,2025-02,48,48,592,33,8.30
1001,2025-03,159,200,592,33,8.30
1001,2025-04,221,341,592,33,8.30
1001,2025-05,195,226,592,33,8.30
1001,2025-06,182,98,592,33,8.30
1001,2025-07,285,203,592,33,8.30
1001,2025-08,171,154,592,33,8.30
1001,2025-09,27,102,592,33,8.30
1001,2025-10,190,191,592,33,8.30
1002,2018-01,138,199,824,16,40.33
1002,2018-02,190,99,824,16,40.33
1002,2018-03,225,0,804,16,40.33
1002,2018-04,297,196,824,16,40.33
1002,2018-05,191,246,824,16,40.33
1002,2018-06,277,155,824,16,40.33
1002,2018-07,110,53,824,16,40.33
1002,2018-08,152,152,824,16,40.33
1002,2018-09,116,192,824,16,40.33
1002,2018-10,150,367,824,16,40.33
1002,2018-11,191,332,824,16,40.33
1002,2018-12,229,155,824,16,40.33
1002,2019-01,247,233,824,16,40.33
1002,2019-02,147,140,824,16,40.33
1002,2019-03,309,258,824,16,40.33
1002,2019-04,145,58,824,16,40.33
1002,2019-05,268,290,824,16,40.33
1002,2019-06,292,252,824,16,40.33
1002,2019-07,270,129,824,16,40.33
1002,2019-08,266,395,824,16,40.33
1002,2019-09,185,162,824,16,40.33
1002,2019-10,253,348,824,16,40.33
1002,2019-11,224,100,824,16,40.33
1002,2019-12,215,178,824,16,40.33
1002,2020-01,179,145,824,16,40.33
1002,2020-02,97,49,824,16,40.33
1002,2020-03,136,145,824,16,40.33
1002,2020-04,9,45,824,16,40.33
1002,2020-05,156,111,824,16,40.33
1002,2020-06,79,79,824,16,40.33
1002,2020-07,174,225,824,16,40.33
1002,2020-08,186,168,824,16,40.33
1002,2020-09,120,87,824,16,40.33
1002,2020-10,93,93,824,16,40.33
1002,2020-11,143,221,824,16,40.33
1002,2020-12,246,182,824,16,40.33
1002,2021-01,242,294,824,16,40.33
1002,2021-02,174,108,824,16,40.33
1002,2021-03,118,140,824,16,40.33
1002,2021-04,70,48,824,16,40.33
1002,2021-05,89,89,824,16,40.33
1002,2021-06,237,297,824,16,40.33
1002,2021-07,121,158,824,16,40.33
1002,2021-08,178,82,824,16,40.33
1002,2021-09,124,189,824,16,40.33
1002,2021-10,259,243,824,16,40.33
1002,2021-11,163,118,824,16,40.33
1002,2021-12,82,103,824,16,40.33
1002,2022-01,158,209,824,16,40.33
1002,2022-02,234,237,824,16,40.33
1002,2022-03,150,247,824,16,40.33
1002,2022-04,155,0,804,16,40.33
1002,2022-05,105,100,824,16,40.33
1002,2022-06,85,102,824,16,40.33
1002,2022-07,162,137,824,16,40.33
1002,2022-08,52,96,824,16,40.33
1002,2022-09,119,118,824,16,40.33
1002,2022-10,150,98,824,16,40.33
1002,2022-11,159,207,824,16,40.33
1002,2022-12,216,223,824,16,40.33
1002,2023-01,138,83,824,16,40.33
1002,2023-02,53,53,824,16,40.33
1002,2023-03,147,202,824,16,40.33
1002,2023-04,55,0,804,16,40.33
1002,2023-05,191,252,824,16,40.33
1002,2023-06,122,171,824,16,40.33
1002,2023-07,199,100,824,16,40.33
1002,2023-08,62,51,824,16,40.33
1002,2023-09,61,99,824,16,40.33
1002,2023-10,129,93,824,16,40.33
1002,2023-11,196,234,824,16,40.33
1002,2023-12,81,41,824,16,40.33
1002,2024-01,99,209,824,16,40.33
1002,2024-02,280,204,824,16,40.33
1002,2024-03,67,135,824,16,40.33
1002,2024-04,189,159,824,16,40.33
1002,2024-05,149,246,824,16,40.33
1002,2024-06,171,75,824,16,40.33
1002,2024-07,164,230,824,16,40.33
1002,2024-08,189,50,824,16,40.33
1002,2024-09,141,228,824,16,40.33
1002,2024-10,124,55,824,16,40.33
1002,2024-11,18,0,804,16,40.33
1002,2024-12,109,234,824,16,40.33
1002,2025-01,125,0,804,16,40.33
1002,2025-02,147,210,824,16,40.33
1002,2025-03,216,153,824,16,40.33
1002,2025-04,200,200,824,16,40.33
1002,2025-05,65,65,824,16,40.33
1002,2025-06,119,119,824,16,40.33
1002,2025-07,142,148,824,16,40.33
1002,2025-08,158,152,824,16,40.33
1002,2025-09,61,143,824,16,40.33
1002,2025-10,186,168,824,16,40.33
1003,2018-01,247,132,699,44,6.65
1003,2018-02,230,242,699,44,6.65
1003,2018-03,185,158,699,44,6.65
1003,2018-04,239,160,699,44,6.65
1003,2018-05,224,94,699,44,6.65
1003,2018-06,227,197,699,44,6.65
1003,2018-07,147,211,699,44,6.65
1003,2018-08,139,271,699,44,6.65
1003,2018-09,267,44,699,44,6.65
1003,2018-10,103,55,699,44,6.65
1003,2018-11,114,147,699,44,6.65
1003,2018-12,83,50,699,44,6.65
1003,2019-01,122,122,699,44,6.65
1003,2019-02,96,96,699,44,6.65
1003,2019-03,49,49,699,44,6.65
1003,2019-04,204,284,699,44,6.65
1003,2019-05,360,289,699,44,6.65
1003,2019-06,71,162,699,44,6.65
1003,2019-07,157,95,699,44,6.65
1003,2019-08,125,159,699,44,6.65
1003,2019-09,147,106,699,44,6.65
1003,2019-10,93,62,699,44,6.65
1003,2019-11,182,222,699,44,6.65
1003,2019-12,184,144,699,44,6.65
1003,2020-01,212,303,699,44,6.65
1003,2020-02,319,264,699,44,6.65
1003,2020-03,120,206,699,44,6.65
1003,2020-04,235,198,699,44,6.65
1003,2020-05,126,41,699,44,6.65
1003,2020-06,35,89,699,44,6.65
1003,2020-07,153,136,699,44,6.65
1003,2020-08,143,106,699,44,6.65
1003,2020-09,124,151,699,44,6.65
1003,2020-10,135,108,699,44,6.65
1003,2020-11,55,55,699,44,6.65
1003,2020-12,89,132,699,44,6.65
1003,2021-01,90,47,699,44,6.65
1003,2021-02,191,297,699,44,6.65
1003,2021-03,212,194,699,44,6.65
1003,2021-04,278,472,699,44,6.65
1003,2021-05,314,130,699,44,6.65
1003,2021-06,262,164,699,44,6.65
1003,2021-07,173,264,699,44,6.65
1003,2021-08,137,46,699,44,6.65
1003,2021-09,90,90,699,44,6.65
1003,2021-10,21,34,699,44,6.65
1003,2021-11,102,136,699,44,6.65
1003,2021-12,276,265,699,44,6.65
1003,2022-01,136,100,699,44,6.65
1003,2022-02,51,51,699,44,6.65
1003,2022-03,84,161,699,44,6.65
1003,2022-04,161,134,699,44,6.65
1003,2022-05,161,311,699,44,6.65
1003,2022-06,187,42,699,44,6.65
1003,2022-07,249,245,699,44,6.65
1003,2022-08,126,99,699,44,6.65
1003,2022-09,249,254,699,44,6.65
1003,2022-10,174,145,699,44,6.65
1003,2022-11,100,108,699,44,6.65
1003,2022-12,97,89,699,44,6.65
1003,2023-01,88,88,699,44,6.65
1003,2023-02,190,358,699,44,6.65
1003,2023-03,260,96,699,44,6.65
1003,2023-04,93,196,699,44,6.65
1003,2023-05,140,56,699,44,6.65
1003,2023-06,99,175,699,44,6.65
1003,2023-07,231,182,699,44,6.65
1003,2023-08,169,171,699,44,6.65
1003,2023-09,261,286,699,44,6.65
1003,2023-10,215,226,699,44,6.65
1003,2023-11,177,149,699,44,6.65
1003,2023-12,154,146,699,44,6.65
1003,2024-01,144,148,699,44,6.65
1003,2024-02,270,253,699,44,6.65
1003,2024-03,89,50,699,44,6.65
1003,2024-04,46,46,699,44,6.65
1003,2024-05,0,85,699,44,6.65
1003,2024-06,156,154,699,44,6.65
1003,2024-07,144,108,699,44,6.65
1003,2024-08,156,287,699,44,6.65
1003,2024-09,228,50,699,44,6.65
1003,2024-10,201,265,699,44,6.65
1003,2024-11,182,150,699,44,6.65
1003,2024-12,188,370,699,44,6.65
1003,2025-01,166,0,679,44,6.65
1003,2025-02,122,135,699,44,6.65
1003,2025-03,126,145,699,44,6.65
1003,2025-04,188,108,699,44,6.65
1003,2025-05,168,168,699,44,6.65
1003,2025-06,165,273,699,44,6.65
1003,2025-07,206,98,699,44,6.65
1003,2025-08,132,195,699,44,6.65
1003,2025-09,217,161,699,44,6.65
1003,2025-10,101,94,699,44,6.65
1004,2018-01,226,46,352,24,76.09
1004,2018-02,201,124,352,24,76.09
1004,2018-03,186,336,352,24,76.09
1004,2018-04,170,279,352,24,76.09
1004,2018-05,230,139,352,24,76.09
1004,2018-06,165,126,352,24,76.09
1004,2018-07,229,167,352,24,76.09
1004,2018-08,201,173,352,24,76.09
1004,2018-09,92,53,352,24,76.09
1004,2018-10,186,200,352,24,76.09
1004,2018-11,65,51,352,24,76.09
1004,2018-12,177,203,352,24,76.09
1004,2019-01,78,52,352,24,76.09
1004,2019-02,56,96,352,24,76.09
1004,2019-03,180,151,352,24,76.09
1004,2019-04,60,49,352,24,76.09
1004,2019-05,59,158,352,24,76.09
1004,2019-06,203,104,352,24,76.09
1004,2019-07,63,65,352,24,76.09
1004,2019-08,104,102,352,24,76.09
1004,2019-10,42,47,352,24,76.09
1004,2019-11,125,144,352,24,76.09
1004,2019-12,174,150,352,24,76.09
1004,2020-01,184,338,352,24,76.09
1004,2020-02,317,196,352,24,76.09
1004,2020-03,91,58,352,24,76.09
1004,2020-04,111,199,352,24,76.09
1004,2020-05,251,178,352,24,76.09
1004,2020-06,141,149,352,24,76.09
1004,2020-07,23,0,343,24,76.09
1004,2020-08,163,168,352,24,76.09
1004,2020-09,145,153,352,24,76.09
1004,2020-10,13,0,343,24,76.09
1004,2020-11,155,155,352,24,76.09
1004,2020-12,113,113,352,24,76.09
1004,2021-01,152,180,352,24,76.09
1004,2021-02,28,0,343,24,76.09
1004,2021-03,104,188,352,24,76.09
1004,2021-04,156,116,352,24,76.09
1004,2021-05,94,167,352,24,76.09
1004,2021-06,219,107,352,24,76.09
1004,2021-07,47,49,352,24,76.09
1004,2021-08,169,264,352,24,76.09
1004,2021-09,216,173,352,24,76.09
1004,2021-10,198,188,352,24,76.09
1004,2021-11,169,163,352,24,76.09
1004,2021-12,255,239,352,24,76.09
1004,2022-01,281,287,352,24,76.09
1004,2022-02,148,115,352,24,76.09
1004,2022-03,20,222,352,24,76.09
1004,2022-04,203,111,352,24,76.09
1004,2022-05,177,256,352,24,76.09
1004,2022-06,294,231,352,24,76.09
1004,2022-07,260,209,352,24,76.09
1004,2022-08,124,49,352,24,76.09
1004,2022-09,85,188,352,24,76.09
1004,2022-10,103,0,343,24,76.09
1004,2022-11,15,55,352,24,76.09
1004,2022-12,193,220,352,24,76.09
1004,2023-01,171,104,352,24,76.09
1004,2023-02,154,154,352,24,76.09
1004,2023-03,115,154,352,24,76.09
1004,2023-04,39,0,343,24,76.09
1004,2023-05,39,77,352,24,76.09
1004,2023-06,198,183,352,24,76.09
1004,2023-07,127,104,352,24,76.09
1004,2023-08,148,148,352,24,76.09
1004,2023-09,81,81,352,24,76.09
1004,2023-10,52,52,352,24,76.09
1004,2023-11,161,331,352,24,76.09
1004,2023-12,241,114,352,24,76.09
1004,2024-01,65,44,352,24,76.09
1004,2024-02,121,99,352,24,76.09
1004,2024-03,85,85,352,24,76.09
1004,2024-04,266,322,352,24,76.09
1004,2024-05,171,115,352,24,76.09
1004,2024-06,83,96,352,24,76.09
1004,2024-07,119,151,352,24,76.09
1004,2024-08,215,182,352,24,76.09
1004,2024-09,97,286,352,24,76.09
1004,2024-10,187,0,343,24,76.09
1004,2024-11,177,189,352,24,76.09
1004,2024-12,184,158,352,24,76.09
1004,2025-01,90,133,352,24,76.09
1004,2025-02,139,96,352,24,76.09
1004,2025-03,111,111,352,24,76.09
1004,2025-04,84,156,352,24,76.09
1004,2025-05,204,220,352,24,76.09
1004,2025-06,125,83,352,24,76.09
1004,2025-07,103,95,352,24,76.09
1004,2025-08,178,143,352,24,76.09
1004,2025-09,25,54,352,24,76.09
1004,2025-10,32,0,343,24,76.09
1005,2018-01,199,161,200,22,39.18
1005,2018-02,134,53,200,22,39.18
1005,2018-03,154,240,200,22,39.18
1005,2018-04,119,206,200,22,39.18
1005,2018-05,142,338,200,22,39.18
1005,2018-06,260,151,200,22,39.18
1005,2018-07,170,193,200,22,39.18
1005,2018-08,198,95,200,22,39.18
1005,2018-09,198,155,200,22,39.18
1005,2018-10,183,214,200,22,39.18
1005,2018-11,217,98,200,22,39.18
1005,2018-12,227,283,200,22,39.18
1005,2019-01,63,342,200,22,39.18
1005,2019-02,218,207,200,22,39.18
1005,2019-03,127,110,200,22,39.18
1005,2019-04,183,221,200,22,39.18
1005,2019-05,311,302,200,22,39.18
1005,2019-06,286,249,200,22,39.18
1005,2019-07,167,217,200,22,39.18
1005,2019-08,194,257,200,22,39.18
1005,2019-09,199,216,200,22,39.18
1005,2019-10,187,113,200,22,39.18
1005,2019-11,251,49,200,22,39.18
1005,2019-12,202,0,183,22,39.18
1005,2020-01,226,417,200,22,39.18
1005,2020-02,100,115,200,22,39.18
1005,2020-03,141,142,200,22,39.18
1005,2020-04,329,186,200,22,39.18
1005,2020-05,133,141,200,22,39.18
1005,2020-06,137,204,200,22,39.18
1005,2020-07,220,319,200,22,39.18
1005,2020-08,238,0,183,22,39.18
1005,2020-09,48,101,200,22,39.18
1005,2020-10,122,104,200,22,39.18
1005,2020-11,128,239,200,22,39.18
1005,2020-12,267,209,200,22,39.18
1005,2021-01,278,190,200,22,39.18
1005,2021-02,111,148,200,22,39.18
1005,2021-03,127,173,200,22,39.18
1005,2021-04,189,171,200,22,39.18
1005,2021-05,180,115,200,22,39.18
1005,2021-06,166,355,200,22,39.18
1005,2021-07,114,197,200,22,39.18
1005,2021-08,198,264,200,22,39.18
1005,2021-09,108,52,200,22,39.18
1005,2021-10,161,38,200,22,39.18
1005,2021-11,205,247,200,22,39.18
1005,2021-12,201,0,183,22,39.18
1005,2022-01,94,94,200,22,39.18
1005,2022-02,240,244,200,22,39.18
1005,2022-03,27,44,200,22,39.18
1005,2022-04,76,55,200,22,39.18
1005,2022-05,52,52,200,22,39.18
1005,2022-06,89,140,200,22,39.18
1005,2022-07,153,137,200,22,39.18
1005,2022-08,210,235,200,22,39.18
1005,2022-09,179,119,200,22,39.18
1005,2022-10,58,111,200,22,39.18
1005,2022-11,233,202,200,22,39.18
1005,2022-12,138,539,200,22,39.18
1005,2023-01,269,199,200,22,39.18
1005,2023-02,214,154,200,22,39.18
1005,2023-03,205,258,200,22,39.18
1005,2023-04,245,96,200,22,39.18
1005,2023-05,240,57,200,22,39.18
1005,2023-06,119,105,200,22,39.18
1005,2023-07,180,187,200,22,39.18
1005,2023-08,68,162,200,22,39.18
1005,2023-09,201,162,200,22,39.18
1005,2023-10,100,38,200,22,39.18
1005,2023-11,135,205,200,22,39.18
1005,2023-12,66,218,200,22,39.18
1005,2024-01,166,112,200,22,39.18
1005,2024-02,85,162,200,22,39.18
1005,2024-03,193,36,200,22,39.18
1005,2024-04,200,144,200,22,39.18
1005,2024-05,71,39,200,22,39.18
1005,2024-06,220,317,200,22,39.18
1005,2024-07,219,161,200,22,39.18
1005,2024-08,192,153,200,22,39.18
1005,2024-09,60,81,200,22,39.18
1005,2024-10,194,201,200,22,39.18
1005,2024-11,149,154,200,22,39.18
1005,2024-12,131,98,200,22,39.18
1005,2025-01,184,206,200,22,39.18
1005,2025-02,197,185,200,22,39.18
1005,2025-03,47,47,200,22,39.18
1005,2025-04,62,52,200,22,39.18
1005,2025-05,48,48,200,22,39.18
1005,2025-06,125,146,200,22,39.18
1005,2025-07,190,357,200,22,39.18
1005,2025-08,141,154,200,22,39.18
1005,2025-09,114,301,200,22,39.18
1005,2025-10,270,76,200,22,39.18
1006,2018-01,231,152,695,23,31.98
1006,2018-02,172,50,695,23,31.98
1006,2018-03,48,202,695,23,31.98
1006,2018-04,175,42,695,23,31.98
1006,2018-05,116,95,695,23,31.98
1006,2018-06,101,101,695,23,31.98
1006,2018-07,46,46,695,23,31.98
1006,2018-08,58,58,695,23,31.98
1006,2018-09,59,103,695,23,31.98
1006,2018-10,181,249,695,23,31.98
1006,2018-11,257,145,695,23,31.98
1006,2018-12,114,244,695,23,31.98
1006,2019-01,185,205,695,23,31.98
1006,2019-02,263,113,695,23,31.98
1006,2019-03,104,152,695,23,31.98
1006,2019-04,69,47,695,23,31.98
1006,2019-05,78,52,695,23,31.98
1006,2019-06,61,155,695,23,31.98
1006,2019-07,158,167,695,23,31.98
1006,2019-08,256,153,695,23,31.98
1006,2019-09,112,112,695,23,31.98
1006,2019-10,152,152,695,23,31.98
1006,2019-11,49,50,695,23,31.98
1006,2019-12,136,188,695,23,31.98
1006,2020-01,118,107,695,23,31.98
1006,2020-02,143,149,695,23,31.98
1006,2020-03,96,87,695,23,31.98
1006,2020-04,100,96,695,23,31.98
1006,2020-05,85,50,695,23,31.98
1006,2020-07,129,189,695,23,31.98
1006,2020-08,194,156,695,23,31.98
1006,2020-09,161,139,695,23,31.98
1006,2020-10,63,63,695,23,31.98
1006,2020-11,146,201,695,23,31.98
1006,2020-12,111,56,695,23,31.98
1006,2021-01,181,181,695,23,31.98
1006,2021-02,62,131,695,23,31.98
1006,2021-03,69,0,679,23,31.98
1006,2021-04,51,152,695,23,31.98
1006,2021-05,183,98,695,23,31.98
1006,2021-06,120,215,695,23,31.98
1006,2021-07,235,159,695,23,31.98
1006,2021-08,157,184,695,23,31.98
1006,2021-09,134,142,695,23,31.98
1006,2021-10,139,209,695,23,31.98
1006,2021-11,246,346,695,23,31.98
1006,2021-12,195,306,695,23,31.98
1006,2022-01,250,238,695,23,31.98
1006,2022-02,84,136,695,23,31.98
1006,2022-03,286,271,695,23,31.98
1006,2022-04,241,0,679,23,31.98
1006,2022-05,117,235,695,23,31.98
1006,2022-06,219,78,695,23,31.98
1006,2022-07,166,54,695,23,31.98
1006,2022-08,150,150,695,23,31.98
1006,2022-09,59,79,695,23,31.98
1006,2022-10,64,44,695,23,31.98
1006,2022-11,89,89,695,23,31.98
1006,2022-12,124,207,695,23,31.98
1006,2023-01,83,0,679,23,31.98
1006,2023-02,52,52,695,23,31.98
1006,2023-03,54,107,695,23,31.98
1006,2023-04,194,168,695,23,31.98
1006,2023-05,152,125,695,23,31.98
1006,2023-06,97,131,695,23,31.98
1006,2023-07,81,47,695,23,31.98
1006,2023-08,98,149,695,23,31.98
1006,2023-09,174,147,695,23,31.98
1006,2023-10,181,157,695,23,31.98
1006,2023-11,92,239,695,23,31.98
1006,2023-12,233,161,695,23,31.98
1006,2024-01,226,320,695,23,31.98
1006,2024-02,194,99,695,23,31.98
1006,2024-03,173,99,695,23,31.98
1006,2024-04,70,89,695,23,31.98
1006,2024-05,86,210,695,23,31.98
1006,2024-06,291,254,695,23,31.98
1006,2024-07,205,100,695,23,31.98
1006,2024-08,146,145,695,23,31.98
1006,2024-09,164,164,695,23,31.98
1006,2024-10,102,166,695,23,31.98
1006,2024-11,192,223,695,23,31.98
1006,2024-12,217,149,695,23,31.98
1006,2025-01,81,54,695,23,31.98
1006,2025-02,76,103,695,23,31.98
1006,2025-03,154,127,695,23,31.98
1006,2025-04,145,215,695,23,31.98
1006,2025-05,128,58,695,23,31.98
1006,2025-06,136,154,695,23,31.98
1006,2025-07,244,226,695,23,31.98
1006,2025-08,129,244,695,23,31.98
1006,2025-09,155,57,695,23,31.98
1006,2025-10,109,99,695,23,31.98
1007,2018-01,214,254,761,45,51.90
1007,2018-02,130,0,756,45,51.90
1007,2018-03,216,215,761,45,51.90
1007,2018-04,148,270,761,45,51.90
1007,2018-05,194,239,761,45,51.90
1007,2018-06,147,104,761,45,51.90
1007,2018-07,289,43,761,45,51.90
1007,2018-08,286,213,761,45,51.90
1007,2018-09,236,212,761,45,51.90
1007,2018-10,260,205,761,45,51.90
1007,2018-11,152,46,761,45,51.90
1007,2018-12,64,50,761,45,51.90
1007,2019-01,113,113,761,45,51.90
1007,2019-02,234,234,761,45,51.90
1007,2019-03,258,258,761,45,51.90
1007,2019-04,179,190,761,45,51.90
1007,2019-05,44,33,761,45,51.90
1007,2019-06,117,385,761,45,51.90
1007,2019-07,293,45,761,45,51.90
1007,2019-08,127,107,761,45,51.90
1007,2019-09,24,56,761,45,51.90
1007,2019-10,80,48,761,45,51.90
1007,2019-11,169,331,761,45,51.90
1007,2019-12,198,299,761,45,51.90
1007,2020-01,310,91,761,45,51.90
1007,2020-02,139,215,761,45,51.90
1007,2020-03,154,421,761,45,51.90
1007,2020-04,116,214,761,45,51.90
1007,2020-05,373,204,761,45,51.90
1007,2020-06,161,199,761,45,51.90
1007,2020-07,189,45,761,45,51.90
1007,2020-08,139,117,761,45,51.90
1007,2020-09,201,212,761,45,51.90
1007,2020-10,188,229,761,45,51.90
1007,2020-11,269,166,761,45,51.90
1007,2020-12,204,97,761,45,51.90
1007,2021-01,238,208,761,45,51.90
1007,2021-02,43,43,761,45,51.90
1007,2021-03,101,148,761,45,51.90
